Date,Close,Yearly_Pct_Change
2000-12-31,1320.28,
2001-12-31,1148.08,-13.04268791468477
2002-12-31,879.82,-23.365967528395228
2003-12-31,1111.92,26.38039599008888
2004-12-31,1211.92,8.993452766386078
2005-12-31,1248.29,3.0010231698461842
2006-12-31,1418.3,13.619431382130752
2007-12-31,1468.36,3.529577663399852
2008-12-31,903.25,-38.48579367457571
2009-12-31,1115.1,23.454193191253793
2010-12-31,1257.64,12.782710070845681
2011-12-31,1257.6,-0.0031805604147616684
2012-12-31,1426.19,13.405693384223927
2013-12-31,1848.36,29.601245275874867
2014-12-31,2058.9,11.390638187366097
2015-12-31,2043.94,-0.726601583369757
2016-12-31,2238.83,9.53501570496198
2017-12-31,2673.61,19.41996489237683
2018-12-31,2506.85,-6.237259734965095
2019-12-31,3230.78,28.87807407702896
2020-12-31,3756.07,16.25892199406953
2021-12-31,4766.18,26.8927362908572
2022-12-31,3839.5,-19.442824232404156
2023-12-31,4769.83,24.230498762859742
2024-12-31,5123.41,7.412842805718434
